Date,Quote
2023-11-29 23:02:20,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
2023-11-29 23:02:20,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
2023-11-29 23:02:20,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
2023-11-29 23:02:20,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
2023-11-29 23:02:20,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
2023-11-29 23:02:20,“Try not to become a man of success. Rather become a man of value.”
2023-11-29 23:02:20,“It is better to be hated for what you are than to be loved for what you are not.”
2023-11-29 23:02:20,"“I have not failed. I've just found 10,000 ways that won't work.”"
2023-11-29 23:02:20,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
2023-11-29 23:02:20,"“A day without sunshine is like, you know, night.”"
